max_depth,train_accuracy,test_accuracy
1,0.9333333333333333,0.9335443037974683
2,0.9333333333333333,0.9335443037974683
3,0.9333333333333333,0.9335443037974683
4,0.9373015873015873,0.8987341772151899
5,0.9452380952380952,0.9208860759493671
6,0.9547619047619048,0.9082278481012658
7,0.9658730158730159,0.9050632911392406
8,0.9714285714285714,0.9050632911392406
9,0.9777777777777777,0.8955696202531646
10,0.984920634920635,0.9018987341772152
11,0.9944444444444445,0.9050632911392406
12,0.9968253968253968,0.8987341772151899
13,0.9984126984126984,0.8924050632911392
14,1.0,0.8892405063291139
15,1.0,0.8892405063291139
16,1.0,0.8892405063291139
17,1.0,0.8892405063291139
18,1.0,0.8892405063291139
19,1.0,0.8892405063291139
20,1.0,0.8892405063291139
