feature,coefficient,abs_coefficient
binary__utilisation_engrais,2.991249263706703,2.991249263706703
binary__acces_irrigation,2.571331939229906,2.571331939229906
categorical__province_Gitega,1.0770909117559941,1.0770909117559941
continuous__pluviometrie_mm,0.9410321074232803,0.9410321074232803
categorical__province_Ruyigi,-0.8472643696800014,0.8472643696800014
categorical__province_Cankuzo,-0.8145423671115198,0.8145423671115198
continuous__altitude_m,0.6274122022240252,0.6274122022240252
categorical__province_Kayanza,0.5387624275636862,0.5387624275636862
categorical__province_Ngozi,-0.5173186438299126,0.5173186438299126
categorical__province_Bururi,0.5074493020152827,0.5074493020152827
categorical__culture_Sorgho,-0.4602857503157552,0.4602857503157552
categorical__saison_B,-0.43597673596903325,0.43597673596903325
categorical__province_Cibitoke,0.40941320244897045,0.40941320244897045
categorical__province_Kirundo,-0.4092551866803961,0.4092551866803961
categorical__culture_Maïs,-0.3758483925919909,0.3758483925919909
categorical__province_Bujumbura Rural,0.3001972566305466,0.3001972566305466
categorical__culture_Haricot,-0.2671275749038389,0.2671275749038389
continuous__superficie_ha,0.26579509784877187,0.26579509784877187
categorical__province_Muyinga,-0.26162725796643965,0.26162725796643965
categorical__culture_Manioc,0.21332423293235525,0.21332423293235525
