feature,importance
continuous__pluviometrie_mm,0.1676494923338448
continuous__altitude_m,0.13632460055907508
continuous__nb_menages,0.12452476914634485
continuous__superficie_ha,0.12023588396024328
continuous__temperature_moy_C,0.11607362433324633
continuous__annee,0.06557359073206495
binary__utilisation_engrais,0.04486989737791319
categorical__saison_B,0.02656058389954074
binary__acces_irrigation,0.02425571370812494
categorical__culture_Sorgho,0.020362432953609337
categorical__culture_Haricot,0.017002834174343024
categorical__culture_Maïs,0.015796589959934014
categorical__province_Ruyigi,0.013639411736882136
categorical__culture_Patate douce,0.013557030938415598
categorical__culture_Manioc,0.012308132618267995
categorical__province_Makamba,0.012049034187426425
categorical__province_Kirundo,0.00962665924477094
categorical__province_Bujumbura Rural,0.009452341136606545
categorical__province_Rutana,0.009448245914943065
categorical__province_Cibitoke,0.008197468763328549
